pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
28223,"10.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
26447,"20.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26447,"24.000,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28226,"6.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28227,"12.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28227,"5.480,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
28178,"2.400,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28178,"7.190,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
28179,"1.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26448,"5.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28180,"14.260,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
28180,"3.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28187,"4.300,00",A Receber,1,"R$ 0,00",,,,,,,,,,,
28186,"3.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28186,"10.000,00",A Receber,1,"R$ 0,00",,,,,,,,,,,
26449,"4.000,00",Crédito de pedido,1,"R$ 0,00",,,,,,,,,,,
26449,"800,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28184,"21.000,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28185,"7.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28232,"20.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28183,"8.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
27751,"1.722,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
27751,"1.723,00",Débito,1,"R$ 24,81",,,,,,,,,,,
28181,"53.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28231,"3.999,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
28182,"600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28182,"1.200,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28229,"50.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28229,"50.000,00",Boleto,2,"R$ 3,98",,,,,,,,,,,
28188,"900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28189,"1.150,00",Débito,1,"R$ 16,56",,,,,,,,,,,
28189,"1.150,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28233,"500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28190,"18.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28234,"1.752,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28234,"9.000,00",Cheque,7,"R$ 0,00",,,,,,,,,,,
28193,"12.900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28193,"5.540,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
28241,"3.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28241,"25.600,00",Boleto,9,"R$ 17,91",,,,,,,,,,,
28003,"4.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27759,"2.537,00",Credito,1,"R$ 60,13",,,,,,,,,,,
27759,"5.000,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
28002,"4.800,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27758,"1.800,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27757,"9.771,00",Credito,1,"R$ 231,57",,,,,,,,,,,
27757,"9.770,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28239,"390,60",Pix,1,"R$ 0,00",,,,,,,,,,,
28001,"1.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28001,"5.200,00",Credito,5,"R$ 132,60",,,,,,,,,,,
28200,"2.580,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28199,"6.750,00",A Receber,6,"R$ 0,00",,,,,,,,,,,
28240,"7.200,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28198,"7.250,00",Credito,7,"R$ 219,68",,,,,,,,,,,
27752,"8.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27752,"5.300,00",Pix,1,"R$ 0,00",,,,,,,,,,,
27752,"21.770,00",Credito,4,"R$ 555,14",,,,,,,,,,,
28197,"3.800,00",Credito,1,"R$ 90,06",,,,,,,,,,,
27756,"11.770,00",Transferência,1,"R$ 0,00",,,,,,,,,,,
28196,"6.750,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28195,"9.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28195,"4.600,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
28195,"4.600,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
28195,"4.600,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
28195,"4.600,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
28195,"4.600,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
